epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8966,3.51638,4.33867,0.06011,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52043,3.84374,0.07719,4.287e-05,4.287e-05,4.287e-05
2,26.7984,3.6201,4.26081,0.06672,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52102,3.84327,0.07724,0.000100027,0.000100027,0.000100027
3,40.6196,3.36649,4.22256,0.05698,0.00029,0.07547,0.0002,6e-05,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52217,3.84424,0.07727,0.000157173,0.000157173,0.000157173
4,50.3812,3.53289,4.27529,0.06279,0,0,0,0,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52181,3.84388,0.07729,0.000214298,0.000214298,0.000214298
5,58.9446,3.4517,4.25294,0.05808,0,0,0,0,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52087,3.84457,0.07725,0.000271392,0.000271392,0.000271392
6,67.8087,3.28435,4.07293,0.05694,0,0,0,0,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52028,3.84087,0.07716,0.000328447,0.000328447,0.000328447
7,76.7255,3.25026,4.00489,0.05408,0.00023,0.0566,0.00015,4e-05,0.61679,0.76114,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51689,3.83895,0.07698,0.000385453,0.000385453,0.000385453
8,85.083,3.13152,3.86802,0.04921,0.00026,0.06289,0.00017,5e-05,0.61525,0.75995,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51188,3.83458,0.07669,0.000442401,0.000442401,0.000442401
9,94.5726,3.01925,3.70066,0.04901,0,0,0,0,0.61525,0.75995,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49861,3.49761,3.82611,0.07598,0.000499282,0.000499282,0.000499282
10,103.197,2.92832,3.52998,0.04498,0.00113,0.12772,0.00078,0.0003,0.64148,0.77984,0.58228,0,0,0,0.49931,0.46835,0,0,0,0.49874,3.47382,3.81164,0.07485,0.000556086,0.000556086,0.000556086
