epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.79748,3.54985,4.3643,0.06091,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52055,3.8435,0.07719,4.287e-05,4.287e-05,4.287e-05
2,16.3468,3.6718,4.25347,0.06839,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52103,3.84354,0.07722,0.000100027,0.000100027,0.000100027
3,26.8326,3.46915,4.22398,0.05926,0.00027,0.06918,0.00018,5e-05,0.61732,0.76157,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52186,3.84373,0.07724,0.000157173,0.000157173,0.000157173
4,37.2757,3.43709,4.21844,0.05963,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5217,3.84198,0.07725,0.000214298,0.000214298,0.000214298
5,46.258,3.33742,4.14953,0.05482,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52124,3.8456,0.0772,0.000271392,0.000271392,0.000271392
6,55.4914,3.10289,3.85595,0.05243,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51993,3.84488,0.0772,0.000328447,0.000328447,0.000328447
7,64.8138,2.92962,3.56282,0.04596,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51758,3.84526,0.07706,0.000385453,0.000385453,0.000385453
8,74.3775,2.76986,3.16989,0.04054,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51081,3.84334,0.07681,0.000442401,0.000442401,0.000442401
9,83.6575,2.58803,2.68153,0.03807,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.49535,0.46835,0,0,0,0.5,3.49675,3.84003,0.07614,0.000499282,0.000499282,0.000499282
10,92.6565,2.52235,2.47487,0.03557,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.49498,0.46835,0,0,0,0.50326,3.47747,3.83419,0.07538,0.000556086,0.000556086,0.000556086
11,101.614,2.4096,2.28696,0.03315,0,0,0,0,0.61732,0.76157,0.58228,0,0,0,0.49585,0.46835,0,0,0,0.50521,3.44219,3.82231,0.07397,0.000612804,0.000612804,0.000612804
12,111.021,2.36339,2.2266,0.03298,0.00031,0.0349,0.00676,0.00068,0.58783,0.73822,0.58228,0,0,0,0.48772,0.46835,0,0,0,0.50921,3.37898,3.79801,0.07126,0.000669427,0.000669427,0.000669427
13,121.066,2.29325,2.2157,0.03248,0.0025,0.18315,0.10805,0.01127,0.54494,0.70416,0.58228,0,0,0,0.45269,0.46835,0,0,0,0.51431,3.27764,3.75981,0.06718,0.000725945,0.000725945,0.000725945
14,131.616,2.20703,2.1763,0.0301,0.00555,0.45028,0.21847,0.04314,0.58591,0.73686,0.58228,0,0,0,0.41179,0.46835,0,0,0,0.52093,3.10319,3.70321,0.06079,0.00078235,0.00078235,0.00078235
15,142.744,2.24521,2.15763,0.03085,0.00561,0.48173,0.21833,0.06369,0.60994,0.75562,0.58228,0,0,0,0.37891,0.46835,0,0,0,0.52376,2.94241,3.65429,0.0542,0.000838633,0.000838633,0.000838633
16,152.399,2.22618,2.02067,0.03011,0.00582,0.48173,0.14597,0.05047,0.62669,0.76838,0.58228,0,0,0,0.35172,0.46835,0,0,0,0.52401,2.80339,3.63318,0.05024,0.000894784,0.000894784,0.000894784
17,161.214,2.25461,1.99306,0.03003,0.0058,0.50331,0.2132,0.11216,0.64892,0.78436,0.58228,0,0,0,0.32953,0.46835,0,0,0,0.5249,2.47303,3.56246,0.04121,0.000950793,0.000950793,0.000950793
18,170.98,2.12572,1.94655,0.02707,0.00603,0.5096,0.2121,0.13411,0.67061,0.79922,0.58228,0,0,0,0.31101,0.46835,0,0,0,0.52811,2.18207,3.51315,0.03419,0.00100665,0.00100665,0.00100665
19,180.849,2.07022,1.88339,0.02676,0.00625,0.56723,0.22256,0.13941,0.68892,0.81158,0.58228,0,0,0,0.29513,0.46835,0,0,0,0.53397,2.02618,3.40192,0.03049,0.00106235,0.00106235,0.00106235
20,190.391,2.09169,1.83892,0.02753,0.00663,0.61856,0.22863,0.1345,0.69997,0.8192,0.58228,0,0,0,0.28173,0.46835,0,0,0,0.54278,2.03274,3.4311,0.03292,0.00111789,0.00111789,0.00111789
21,199.152,2.01778,1.81468,0.02603,0.00711,0.7095,0.19099,0.09883,0.71032,0.82632,0.58228,0,0,0,0.27025,0.46835,0,0,0,0.54753,1.91993,3.35524,0.02867,0.00117324,0.00117324,0.00117324
22,208.566,1.99979,1.78373,0.02508,0.00747,0.74724,0.2559,0.11846,0.71692,0.83085,0.58228,0,0,0,0.26625,0.46835,0,0,0,0.54989,1.94351,3.31446,0.03068,0.00122841,0.00122841,0.00122841
23,217.604,1.99253,1.7803,0.02563,0.0072,0.75353,0.29133,0.13116,0.72461,0.83602,0.58228,0,0,0,0.2744,0.46835,0,0,0,0.56261,1.82881,3.15351,0.02835,0.00128338,0.00128338,0.00128338
24,226.794,1.96906,1.71043,0.02477,0.00747,0.7984,0.44458,0.24737,0.73344,0.84183,0.58228,0,0,0,0.28973,0.46835,0,0,0,0.58447,1.64185,2.7631,0.02393,0.00133815,0.00133815,0.00133815
25,236.92,1.99219,1.71765,0.02642,0.96847,0.20198,0.39586,0.22637,0.73814,0.84499,0.58228,0,0,0,0.29344,0.46835,0,0,0,0.60329,1.77019,2.45093,0.02826,0.00139271,0.00139271,0.00139271
26,245.896,2.07247,1.80205,0.02651,0.83383,0.26879,0.45554,0.22397,0.74162,0.8473,0.58228,0,0,0,0.31035,0.46835,0,0,0,0.618,1.90432,2.23658,0.02886,0.0014049,0.0014049,0.0014049
27,254.729,1.99462,1.7604,0.02528,0.78066,0.34053,0.46832,0.2323,0.74339,0.84848,0.58228,0,0,0,0.32623,0.46835,0,0,0,0.61488,2.02122,1.9954,0.03022,0.00140294,0.00140294,0.00140294
28,263.897,1.99559,1.69435,0.0252,0.87022,0.36314,0.53338,0.25693,0.74709,0.85088,0.58228,0,0,0,0.34071,0.46835,0,0,0,0.63134,1.80918,2.03411,0.02688,0.00140091,0.00140091,0.00140091
29,273.829,2.0017,1.70722,0.02621,0.74995,0.34348,0.48524,0.20774,0.74901,0.85224,0.58228,0,0,0,0.3539,0.46835,0,0,0,0.64548,2.0789,2.08714,0.03352,0.00139881,0.00139881,0.00139881
30,283.535,2.03467,1.73865,0.02539,0.53915,0.38112,0.42479,0.16437,0.74922,0.85247,0.58228,0,0,0,0.3668,0.46835,0,0,0,0.6421,2.3193,1.93533,0.04707,0.00139663,0.00139663,0.00139663
31,293.122,1.93979,1.64548,0.02463,0.33717,0.4035,0.37922,0.14237,0.75028,0.8532,0.58269,1,0.00098,0.00195,0.37869,0.4708,1,0.00461,0.00917,0.64465,2.37762,1.95963,0.04815,0.00139438,0.00139438,0.00139438
32,302.467,1.96459,1.67685,0.02605,0.25382,0.35634,0.36898,0.1203,0.75025,0.85322,0.58267,1,0.00095,0.00189,0.38961,0.47112,1,0.00521,0.01036,0.64386,2.37294,1.90338,0.04171,0.00139205,0.00139205,0.00139205
33,311.652,1.93597,1.61153,0.0243,0.35205,0.42213,0.36852,0.12578,0.7496,0.85286,0.58266,1,0.00092,0.00183,0.39885,0.47219,1,0.00722,0.01433,0.64145,2.53943,1.90875,0.05582,0.00138965,0.00138965,0.00138965
34,320.457,1.87293,1.5023,0.02208,0.40456,0.37337,0.41329,0.19045,0.75084,0.8537,0.58265,1,0.00089,0.00178,0.40651,0.47208,1,0.007,0.01391,0.64061,2.17315,1.74005,0.04353,0.00138718,0.00138718,0.00138718
35,329.261,1.90685,1.57984,0.0251,0.62906,0.46133,0.4685,0.21721,0.7531,0.85513,0.58662,1,0.01039,0.02057,0.41555,0.47197,1,0.0068,0.01351,0.64454,1.9424,1.66921,0.03286,0.00138464,0.00138464,0.00138464
36,338.557,1.83378,1.5759,0.02285,0.7244,0.4268,0.48097,0.20771,0.75441,0.85602,0.5865,1,0.0101,0.02,0.4232,0.4789,1,0.01984,0.03891,0.64238,2.11348,1.64322,0.03902,0.00138202,0.00138202,0.00138202
37,347.472,1.90384,1.52993,0.02233,0.74749,0.37274,0.43506,0.14987,0.75398,0.85579,0.58638,1,0.00983,0.01946,0.42856,0.48854,0.98361,0.03861,0.0743,0.64468,2.33833,2.02017,0.04335,0.00137933,0.00137933,0.00137933
38,356.127,1.83328,1.5684,0.02368,0.47094,0.5385,0.50822,0.1801,0.7543,0.85606,0.58694,1,0.01116,0.02208,0.43622,0.49034,0.98529,0.04198,0.08053,0.65146,2.20721,1.74683,0.04271,0.00137656,0.00137656,0.00137656
39,364.841,1.93918,1.57117,0.02476,0.90628,0.43526,0.53857,0.26828,0.75545,0.85681,0.59072,1,0.0202,0.0396,0.44497,0.48978,0.98529,0.0409,0.07855,0.6615,1.90969,1.41681,0.03467,0.00137373,0.00137373,0.00137373
40,374.523,1.84416,1.4972,0.02138,0.28653,0.44399,0.40073,0.19199,0.7561,0.85725,0.59082,1,0.02045,0.04009,0.45214,0.48987,0.98571,0.04107,0.07886,0.66973,1.97751,1.71691,0.02934,0.00137082,0.00137082,0.00137082
41,383.287,1.92523,1.54033,0.02324,0.60342,0.43174,0.46848,0.24608,0.75783,0.85832,0.5971,1,0.03548,0.06852,0.45944,0.49305,0.9878,0.04704,0.0898,0.67168,1.85401,1.69182,0.02859,0.00136785,0.00136785,0.00136785
42,391.993,1.79234,1.48757,0.02153,0.37141,0.48275,0.44833,0.16173,0.75771,0.85826,0.59946,0.98305,0.04185,0.08028,0.46691,0.49518,0.98901,0.05102,0.09704,0.67182,2.32022,1.7584,0.04283,0.0013648,0.0013648,0.0013648
43,400.691,1.85504,1.47436,0.02245,0.53236,0.42889,0.47105,0.23848,0.7596,0.85946,0.60024,0.98413,0.04369,0.08367,0.47441,0.49838,0.99038,0.05703,0.10785,0.67284,1.83083,1.54775,0.02935,0.00136168,0.00136168,0.00136168
44,410.595,1.84426,1.43948,0.02387,0.34734,0.47187,0.43987,0.19032,0.75995,0.85971,0.60155,0.97183,0.04752,0.09061,0.48049,0.4977,0.99038,0.05574,0.10553,0.67751,2.17164,1.6417,0.04132,0.00135849,0.00135849,0.00135849
45,420.509,1.8205,1.39455,0.02287,0.61835,0.48656,0.51662,0.26909,0.76154,0.86075,0.60731,0.97849,0.06128,0.11534,0.4872,0.49761,0.99057,0.05556,0.10521,0.68451,1.74666,1.45055,0.02602,0.00135523,0.00135523,0.00135523
46,431.367,1.73314,1.36276,0.02145,0.41221,0.56264,0.48526,0.21835,0.7618,0.86095,0.60732,0.97895,0.06126,0.11531,0.49213,0.50028,0.98333,0.06108,0.11501,0.69075,2.05582,1.60789,0.03629,0.0013519,0.0013519,0.0013519
47,440.805,1.69048,1.37338,0.0206,0.43903,0.55868,0.49771,0.27378,0.76329,0.8619,0.60759,0.97959,0.0619,0.11643,0.49609,0.5031,0.97778,0.06687,0.12518,0.69063,1.71675,1.40855,0.02461,0.00134851,0.00134851,0.00134851
48,452.003,1.68976,1.29268,0.01968,0.5972,0.53877,0.55156,0.3083,0.76491,0.86292,0.60812,0.98039,0.06313,0.11862,0.50109,0.50976,0.97006,0.08036,0.14842,0.69563,1.60999,1.37294,0.02366,0.00134504,0.00134504,0.00134504
49,463.362,1.68865,1.31846,0.0215,0.52014,0.55681,0.52566,0.24286,0.7652,0.86313,0.61069,0.98246,0.06926,0.1294,0.50807,0.50943,0.97041,0.07969,0.14728,0.70235,2.00192,1.47626,0.03504,0.0013415,0.0013415,0.0013415
50,472.067,1.73704,1.32119,0.02087,0.51168,0.55724,0.51581,0.26323,0.7659,0.86359,0.61646,0.97872,0.08364,0.1541,0.51428,0.51063,0.97175,0.0819,0.15108,0.70906,1.83611,1.60973,0.03145,0.0013379,0.0013379,0.0013379
51,480.725,1.74887,1.3128,0.02062,0.43751,0.50331,0.47721,0.28513,0.76706,0.86429,0.61603,0.97887,0.08259,0.15233,0.52004,0.5108,0.96721,0.08263,0.15226,0.70945,1.59771,1.38433,0.0225,0.00133423,0.00133423,0.00133423
52,489.501,1.6909,1.34826,0.01966,0.59773,0.5951,0.57057,0.32896,0.76842,0.86513,0.61611,0.97931,0.08275,0.15261,0.52615,0.51412,0.96535,0.08929,0.16345,0.7123,1.67242,1.26062,0.02512,0.0013305,0.0013305,0.0013305
