epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86633,3.51923,4.34369,0.05997,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52055,3.8435,0.0772,4.287e-05,4.287e-05,4.287e-05
2,14.8028,3.64111,4.22929,0.06736,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.521,3.84334,0.07725,0.000100027,0.000100027,0.000100027
3,24.5251,3.43249,4.21217,0.05863,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5222,3.8444,0.07727,0.000157173,0.000157173,0.000157173
4,33.5747,3.2798,4.0867,0.05554,0.00027,0.06918,0.00018,5e-05,0.62044,0.76409,0.58228,0,0,0,0.5,0.46835,0,0,0,0.47189,3.52051,3.84513,0.07722,0.000214298,0.000214298,0.000214298
5,42.3633,3.0347,3.90497,0.04788,0.00027,0.06918,0.00018,5e-05,0.6184,0.76247,0.58228,0,0,0,0.5,0.46835,0,0,0,0.48201,3.52093,3.84547,0.07725,0.000271392,0.000271392,0.000271392
6,51.2336,2.94897,3.73947,0.0486,0,0,0,0,0.6184,0.76247,0.58228,0,0,0,0.5,0.46835,0,0,0,0.48751,3.51908,3.84486,0.07717,0.000328447,0.000328447,0.000328447
7,59.7866,2.76501,3.3145,0.04196,0,0,0,0,0.6184,0.76247,0.58228,0,0,0,0.5,0.46835,0,0,0,0.4949,3.51416,3.84327,0.07699,0.000385453,0.000385453,0.000385453
8,68.2052,2.61782,2.926,0.03633,0,0,0,0,0.6184,0.76247,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49609,3.50833,3.84233,0.07671,0.000442401,0.000442401,0.000442401
9,76.4255,2.5658,2.55794,0.03721,0,0,0,0,0.6184,0.76247,0.58228,0,0,0,0.5,0.46835,0,0,0,0.50094,3.49847,3.84155,0.07628,0.000499282,0.000499282,0.000499282
10,84.7062,2.48666,2.38302,0.035,5e-05,0.01802,3e-05,1e-05,0.61555,0.76039,0.58228,0,0,0,0.5,0.46835,0,0,0,0.50434,3.48462,3.83588,0.0757,0.000556086,0.000556086,0.000556086
11,93.5727,2.29592,2.2729,0.0315,5e-05,0.01802,3e-05,1e-05,0.61335,0.7588,0.58228,0,0,0,0.5,0.46835,0,0,0,0.50648,3.45895,3.82624,0.07469,0.000612804,0.000612804,0.000612804
12,102.498,2.27971,2.22459,0.03174,0.00011,0.02224,0.00017,2e-05,0.60768,0.75435,0.58228,0,0,0,0.49371,0.46835,0,0,0,0.51047,3.43385,3.81961,0.0739,0.000669427,0.000669427,0.000669427
13,110.744,2.26177,2.18286,0.03213,0.00162,0.1235,0.00425,0.00064,0.62049,0.76366,0.58228,0,0,0,0.49061,0.46835,0,0,0,0.5146,3.38858,3.80262,0.07233,0.000725945,0.000725945,0.000725945
14,120.837,2.19435,2.11038,0.03,0.00317,0.27906,0.02918,0.00351,0.62375,0.76558,0.58228,0,0,0,0.49191,0.46835,0,0,0,0.51975,3.30669,3.7686,0.06912,0.00078235,0.00078235,0.00078235
15,129.851,2.15957,2.09036,0.02955,0.00529,0.44898,0.16645,0.0185,0.61089,0.75544,0.58228,0,0,0,0.49014,0.46835,0,0,0,0.52414,3.19293,3.72447,0.066,0.000838633,0.000838633,0.000838633
16,138.79,2.14144,1.96863,0.02862,0.00539,0.48802,0.16883,0.03644,0.61686,0.76035,0.58228,0,0,0,0.49071,0.46835,0,0,0,0.52916,2.99384,3.66307,0.05863,0.000894784,0.000894784,0.000894784
17,148.079,2.07296,1.93895,0.02666,0.00537,0.50059,0.19533,0.06539,0.63017,0.77055,0.58228,0,0,0,0.49019,0.46835,0,0,0,0.53495,2.75488,3.60426,0.05008,0.000950793,0.000950793,0.000950793
18,158.772,2.05184,1.84227,0.02523,0.00583,0.52218,0.16615,0.04344,0.63936,0.7774,0.58228,0,0,0,0.48801,0.46835,0,0,0,0.53762,2.69077,3.61082,0.04901,0.00100665,0.00100665,0.00100665
19,167.858,1.99193,1.80697,0.02649,0.00579,0.53476,0.19447,0.0705,0.64983,0.78496,0.58228,0,0,0,0.48407,0.46835,0,0,0,0.53849,2.53129,3.5118,0.04201,0.00106235,0.00106235,0.00106235
20,178.251,2.05663,1.82542,0.02677,0.00584,0.53476,0.16686,0.09663,0.66904,0.79803,0.58228,0,0,0,0.46605,0.46835,0,0,0,0.54277,2.01078,3.43858,0.02984,0.00111789,0.00111789,0.00111789
21,189.302,2.06544,1.858,0.02697,0.00656,0.66446,0.21541,0.06218,0.6816,0.8067,0.58228,0,0,0,0.44933,0.46835,0,0,0,0.54795,2.06595,3.40749,0.03174,0.00117324,0.00117324,0.00117324
22,198.387,2.0603,1.77845,0.02579,0.00683,0.7112,0.27728,0.07861,0.68806,0.81129,0.58228,0,0,0,0.43238,0.46835,0,0,0,0.54617,2.18424,3.40389,0.03386,0.00122841,0.00122841,0.00122841
23,206.481,1.99013,1.82704,0.02614,0.00695,0.75438,0.31446,0.13887,0.69869,0.81842,0.58228,0,0,0,0.44143,0.46835,0,0,0,0.54978,1.91424,3.16696,0.0308,0.00128338,0.00128338,0.00128338
24,215.794,1.92986,1.71587,0.02522,0.00724,0.78854,0.39751,0.21358,0.70908,0.82522,0.58228,0,0,0,0.43375,0.46835,0,0,0,0.56872,1.70064,2.99167,0.02369,0.00133815,0.00133815,0.00133815
25,224.813,2.00402,1.68179,0.02616,1,0.14408,0.44593,0.29435,0.72009,0.83238,0.58228,0,0,0,0.43618,0.46835,0,0,0,0.58279,1.54145,2.54075,0.021,0.00139271,0.00139271,0.00139271
26,233.904,2.01428,1.73931,0.02614,0.94128,0.11841,0.47454,0.25499,0.7283,0.83785,0.58228,0,0,0,0.45012,0.46835,0,0,0,0.6038,1.7249,2.40305,0.02496,0.0014049,0.0014049,0.0014049
27,242.425,1.86885,1.63508,0.02386,0.84463,0.23199,0.50499,0.31544,0.73653,0.84319,0.58228,0,0,0,0.4605,0.46835,0,0,0,0.62625,1.48621,2.20675,0.02074,0.00140294,0.00140294,0.00140294
28,252.676,1.95434,1.64247,0.02614,0.96725,0.30985,0.50198,0.24086,0.74063,0.846,0.58228,0,0,0,0.47715,0.46835,0,0,0,0.64591,1.92604,2.2524,0.02965,0.00140091,0.00140091,0.00140091
