epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.27262,3.59057,4.379,0.06177,0,0,0,0,0,0,0.58228,0,0,0,0.52404,0.46835,0,0,0,0.5,3.52178,3.84364,0.07722,4.287e-05,4.287e-05,4.287e-05
2,15.4422,3.74,4.29152,0.06987,0,0,0,0,0,0,0.58228,0,0,0,0.51202,0.46835,0,0,0,0.5,3.52215,3.84439,0.07725,0.000100027,0.000100027,0.000100027
3,23.6299,3.54237,4.29138,0.06192,0,0,0,0,0,0,0.58228,0,0,0,0.50801,0.46835,0,0,0,0.5,3.52175,3.84315,0.07722,0.000157173,0.000157173,0.000157173
4,32.7494,3.57095,4.26854,0.06312,0.00027,0.06918,0.00018,5e-05,0.61819,0.76225,0.58228,0,0,0,0.49798,0.46835,0,0,0,0.5,3.51974,3.84165,0.07716,0.000214298,0.000214298,0.000214298
5,41.9651,3.48098,4.2958,0.05963,0,0,0,0,0.61819,0.76225,0.58228,0,0,0,0.48883,0.46835,0,0,0,0.49927,3.5172,3.84086,0.07689,0.000271392,0.000271392,0.000271392
6,50.4161,3.3539,4.14266,0.05917,0,0,0,0,0.61819,0.76225,0.58228,0,0,0,0.49289,0.46835,0,0,0,0.49671,3.5107,3.84002,0.07663,0.000328447,0.000328447,0.000328447
7,58.8699,3.33827,4.05728,0.05609,0.00018,0.03689,0.0001,3e-05,0.61353,0.75855,0.58228,0,0,0,0.4935,0.46835,0,0,0,0.49975,3.50612,3.83613,0.07648,0.000385453,0.000385453,0.000385453
8,67.3041,3.20019,3.89381,0.05025,0,0,0,0,0.61353,0.75855,0.58228,0,0,0,0.49399,0.46835,0,0,0,0.50139,3.50126,3.83875,0.07621,0.000442401,0.000442401,0.000442401
9,75.8895,3.08217,3.73191,0.04949,0,0,0,0,0.61353,0.75855,0.58228,0,0,0,0.49486,0.46835,0,0,0,0.5018,3.46274,3.81676,0.07425,0.000499282,0.000499282,0.000499282
10,84.7541,2.96691,3.50557,0.04583,0.00102,0.08553,0.00089,0.00024,0.63232,0.77296,0.58228,0,0,0,0.49446,0.46835,0,0,0,0.50529,3.42975,3.79232,0.07242,0.000556086,0.000556086,0.000556086
11,94.6602,2.88793,3.19575,0.04392,0.00183,0.17471,0.00478,0.00073,0.63028,0.7708,0.58228,0,0,0,0.48886,0.46835,0,0,0,0.52163,3.35711,3.74587,0.0697,0.000612804,0.000612804,0.000612804
12,106.507,2.73775,2.92188,0.04169,0.00392,0.45377,0.09597,0.01188,0.60911,0.7545,0.58228,0,0,0,0.48865,0.46835,0,0,0,0.51962,3.2173,3.6126,0.062,0.000669427,0.000669427,0.000669427
13,118.349,2.6212,2.72635,0.03923,0.00431,0.48173,0.19004,0.05619,0.63817,0.7764,0.58228,0,0,0,0.48483,0.46835,0,0,0,0.53883,2.69913,3.44318,0.04556,0.000725945,0.000725945,0.000725945
14,132.47,2.45617,2.53337,0.03497,0.00422,0.44756,0.13543,0.04889,0.66453,0.79476,0.58228,0,0,0,0.48133,0.46835,0,0,0,0.54088,2.43132,3.32255,0.03789,0.00078235,0.00078235,0.00078235
15,141.12,2.43668,2.47142,0.03397,0.00461,0.45385,0.10706,0.02656,0.67051,0.79934,0.58228,0,0,0,0.47877,0.46835,0,0,0,0.54304,2.74905,3.45797,0.04701,0.000838633,0.000838633,0.000838633
16,150.039,2.30906,2.29646,0.03179,0.00485,0.50059,0.20347,0.07348,0.68209,0.80749,0.58228,0,0,0,0.47376,0.46835,0,0,0,0.54896,2.36094,3.28741,0.03931,0.000894784,0.000894784,0.000894784
17,159.716,2.25831,2.19573,0.03066,0.00526,0.61397,0.20243,0.08302,0.69175,0.81377,0.58228,0,0,0,0.468,0.46835,0,0,0,0.56587,2.18031,3.18478,0.0372,0.000950793,0.000950793,0.000950793
18,170.288,2.16603,2.07394,0.02828,0.78303,0.22363,0.23039,0.1164,0.70018,0.81957,0.58228,0,0,0,0.45851,0.46835,0,0,0,0.59253,2.31106,2.97919,0.03516,0.00100665,0.00100665,0.00100665
19,182.423,2.19393,2.0586,0.02942,0.77584,0.1192,0.11284,0.03817,0.70571,0.82336,0.58228,0,0,0,0.44619,0.46835,0,0,0,0.61419,2.16033,3.20532,0.03177,0.00106235,0.00106235,0.00106235
20,191.987,2.24707,2.10443,0.03054,0.91537,0.22363,0.24527,0.08351,0.70969,0.82621,0.58228,0,0,0,0.44248,0.46835,0,0,0,0.61816,2.32297,2.87324,0.04355,0.00111789,0.00111789,0.00111789
