epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.22754,3.52668,4.37534,0.06066,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5199,3.84328,0.07712,4.287e-05,4.287e-05,4.287e-05
2,15.3247,3.67861,4.26516,0.06828,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5214,3.84275,0.07716,0.000100027,0.000100027,0.000100027
3,26.0568,3.53251,4.33094,0.06181,0.00027,0.06918,0.00017,4e-05,0.61726,0.76153,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52126,3.84088,0.07715,0.000157173,0.000157173,0.000157173
4,35.8236,3.5738,4.30312,0.06356,0,0,0,0,0.61726,0.76153,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51747,3.83973,0.07702,0.000214298,0.000214298,0.000214298
5,44.322,3.45622,4.25615,0.05816,0,0,0,0,0.61726,0.76153,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51397,3.83965,0.07673,0.000271392,0.000271392,0.000271392
6,53.29,3.34324,4.11073,0.05902,0,0,0,0,0.61726,0.76153,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49991,3.51098,3.83551,0.0765,0.000328447,0.000328447,0.000328447
7,62.4879,3.3138,4.04792,0.05602,0,0,0,0,0.61726,0.76153,0.58228,0,0,0,0.50031,0.46835,0,0,0,0.4962,3.49685,3.82467,0.07571,0.000385453,0.000385453,0.000385453
8,71.1389,3.19536,3.91231,0.05023,0.00034,0.0734,0.00037,7e-05,0.61543,0.75996,0.58228,0,0,0,0.50047,0.46835,0,0,0,0.49499,3.47396,3.80953,0.07464,0.000442401,0.000442401,0.000442401
9,80.8245,3.04721,3.74055,0.04897,0.00044,0.08391,0.00048,9e-05,0.61231,0.75738,0.58228,0,0,0,0.50201,0.46835,0,0,0,0.49102,3.42007,3.78118,0.0722,0.000499282,0.000499282,0.000499282
10,90.4069,2.84631,3.52468,0.04362,0.00249,0.1945,0.01371,0.00148,0.57834,0.73064,0.58228,0,0,0,0.50241,0.46835,0,0,0,0.48826,3.32355,3.73342,0.06817,0.000556086,0.000556086,0.000556086
11,100.26,2.84268,3.32835,0.04289,0.00285,0.31777,0.04139,0.00447,0.58792,0.7377,0.58228,0,0,0,0.50679,0.46835,0,0,0,0.48271,3.30721,3.71895,0.06754,0.000612804,0.000612804,0.000612804
12,110.507,2.76894,3.08891,0.04202,0.00373,0.41044,0.02947,0.00333,0.58928,0.7387,0.58228,0,0,0,0.51487,0.46835,0,0,0,0.4772,3.25409,3.69328,0.06583,0.000669427,0.000669427,0.000669427
13,119.358,2.69728,2.99972,0.04095,0.00391,0.46915,0.12852,0.02611,0.59674,0.74479,0.58228,0,0,0,0.51514,0.46835,0,0,0,0.47801,3.11828,3.62805,0.06056,0.000725945,0.000725945,0.000725945
14,132.127,2.61735,2.84132,0.03865,0.004,0.48802,0.0894,0.02515,0.60808,0.75372,0.58228,0,0,0,0.51868,0.46835,0,0,0,0.48164,2.94234,3.57931,0.05638,0.00078235,0.00078235,0.00078235
15,140.812,2.53983,2.7726,0.03713,0.0041,0.49431,0.14356,0.05753,0.62524,0.76654,0.58228,0,0,0,0.52079,0.46835,0,0,0,0.49273,2.65586,3.48166,0.0494,0.000838633,0.000838633,0.000838633
16,151.084,2.45685,2.60618,0.03489,0.00422,0.49431,0.17228,0.09183,0.64295,0.77929,0.58228,0,0,0,0.52307,0.46835,0,0,0,0.49426,2.43159,3.4365,0.04511,0.000894784,0.000894784,0.000894784
17,160.809,2.47452,2.51519,0.03475,0.00449,0.50059,0.17639,0.05303,0.65396,0.78733,0.58228,0,0,0,0.52248,0.46835,0,0,0,0.50222,2.49168,3.43086,0.04637,0.000950793,0.000950793,0.000950793
18,169.867,2.36078,2.41114,0.03161,0.00472,0.49431,0.20934,0.09649,0.66457,0.79487,0.58228,0,0,0,0.52073,0.46835,0,0,0,0.51207,2.34502,3.35395,0.03986,0.00100665,0.00100665,0.00100665
19,181.655,2.34005,2.39044,0.03205,0.00414,0.51946,0.20765,0.07917,0.66993,0.79877,0.58228,0,0,0,0.51823,0.46835,0,0,0,0.51854,2.47474,3.32611,0.03873,0.00106235,0.00106235,0.00106235
20,191.196,2.3203,2.34572,0.03192,0.00426,0.49431,0.22279,0.11012,0.67721,0.80395,0.58228,0,0,0,0.51395,0.46835,0,0,0,0.52046,2.30439,3.17233,0.03607,0.00111789,0.00111789,0.00111789
21,201.962,2.29665,2.30818,0.03124,0.83569,0.21941,0.2415,0.1204,0.68554,0.80964,0.58228,0,0,0,0.5043,0.46835,0,0,0,0.52526,2.12259,3.06642,0.0329,0.00117324,0.00117324,0.00117324
22,211.318,2.29476,2.1984,0.02988,0.00582,0.46343,0.24718,0.15142,0.69396,0.81528,0.58228,0,0,0,0.49847,0.46835,0,0,0,0.5381,1.98377,3.03195,0.03012,0.00122841,0.00122841,0.00122841
23,221.434,2.2923,2.20132,0.03063,0.88697,0.32068,0.33695,0.20485,0.70109,0.82006,0.58228,0,0,0,0.48731,0.46835,0,0,0,0.56243,1.9604,2.74952,0.02874,0.00128338,0.00128338,0.00128338
24,231.23,2.15957,2.05822,0.02829,0.83503,0.32911,0.32296,0.17004,0.70604,0.82338,0.58228,0,0,0,0.49027,0.46835,0,0,0,0.5783,2.03403,2.72803,0.0322,0.00133815,0.00133815,0.00133815
25,239.849,2.1785,2.04208,0.02922,0.98745,0.21567,0.32873,0.16018,0.70981,0.82602,0.58228,0,0,0,0.49069,0.46835,0,0,0,0.59689,2.20401,2.44329,0.04013,0.00139271,0.00139271,0.00139271
26,248.172,2.09191,1.97903,0.02722,0.97524,0.24895,0.30754,0.10296,0.71194,0.8275,0.58228,0,0,0,0.48554,0.46835,0,0,0,0.61315,2.64443,2.5116,0.0511,0.0014049,0.0014049,0.0014049
27,256.533,2.08589,2.0144,0.02786,0.9584,0.2367,0.32011,0.14284,0.71539,0.82972,0.58228,0,0,0,0.48231,0.46835,0,0,0,0.62524,2.11221,2.71596,0.03427,0.00140294,0.00140294,0.00140294
28,264.861,2.05848,2.00701,0.02621,0.90537,0.28692,0.31576,0.18661,0.7201,0.83269,0.58228,0,0,0,0.48256,0.46835,0,0,0,0.63925,1.79889,2.29632,0.02629,0.00140091,0.00140091,0.00140091
29,273.701,2.12873,1.96425,0.02823,0.96446,0.28692,0.40502,0.14571,0.72066,0.83317,0.58228,0,0,0,0.48448,0.46835,0,0,0,0.65182,2.31799,2.25927,0.04317,0.00139881,0.00139881,0.00139881
30,282.319,2.16811,1.99109,0.02828,0.97737,0.28692,0.44987,0.21569,0.72452,0.83563,0.58228,0,0,0,0.48717,0.46835,0,0,0,0.65748,1.89612,2.10193,0.02668,0.00139663,0.00139663,0.00139663
31,292.034,2.05006,1.87787,0.02594,0.71891,0.36994,0.4089,0.1814,0.72556,0.83638,0.58228,0,0,0,0.48971,0.46835,0,0,0,0.66811,2.26042,1.85013,0.04136,0.00139438,0.00139438,0.00139438
32,300.789,2.0392,1.88386,0.02692,0.69018,0.35906,0.37772,0.16386,0.72607,0.83677,0.58228,0,0,0,0.49379,0.46835,0,0,0,0.66937,2.29691,1.87806,0.03621,0.00139205,0.00139205,0.00139205
33,309.814,2.00894,1.85316,0.02609,0.7162,0.41498,0.43388,0.17178,0.72661,0.8372,0.58228,0,0,0,0.49718,0.46835,0,0,0,0.67811,2.28049,1.84142,0.04469,0.00138965,0.00138965,0.00138965
34,320.131,1.93928,1.74591,0.02316,0.62381,0.40541,0.41834,0.23007,0.72929,0.8389,0.58228,0,0,0,0.50052,0.46835,0,0,0,0.67595,1.90606,1.70681,0.0306,0.00138718,0.00138718,0.00138718
35,331.851,1.98247,1.7625,0.02595,0.77558,0.38739,0.4176,0.14479,0.72971,0.83918,0.58228,0,0,0,0.5039,0.46835,0,0,0,0.67893,2.2468,2.02133,0.03614,0.00138464,0.00138464,0.00138464
36,341.332,1.99702,1.77016,0.02537,0.62733,0.26388,0.31783,0.14599,0.73155,0.84038,0.58228,0,0,0,0.50761,0.46835,0,0,0,0.68491,1.96022,2.11575,0.029,0.00138202,0.00138202,0.00138202
37,349.72,2.02809,1.72583,0.02459,0.75553,0.38904,0.41635,0.18978,0.73379,0.84181,0.58228,0,0,0,0.51178,0.46835,0,0,0,0.69176,1.96764,1.93403,0.02941,0.00137933,0.00137933,0.00137933
38,358.114,1.90653,1.77062,0.02533,0.78859,0.35249,0.39653,0.15207,0.73465,0.84239,0.58228,0,0,0,0.5153,0.46835,0,0,0,0.69677,2.10516,1.9644,0.03524,0.00137656,0.00137656,0.00137656
39,366.484,1.89621,1.73969,0.02363,0.66583,0.39389,0.38685,0.20519,0.73649,0.8436,0.5852,1,0.00699,0.01389,0.51961,0.46835,0,0,0,0.70301,1.82377,1.73766,0.03018,0.00137373,0.00137373,0.00137373
40,375.499,1.96234,1.68107,0.02325,0.73784,0.40944,0.41838,0.24271,0.73826,0.84475,0.58734,1,0.01212,0.02395,0.52425,0.46835,0,0,0,0.70754,1.75729,1.67207,0.02562,0.00137082,0.00137082,0.00137082
41,385.99,1.97008,1.75225,0.02446,0.72831,0.39275,0.40809,0.2022,0.73932,0.8455,0.59,0.96296,0.01922,0.03768,0.5291,0.46835,0,0,0,0.71348,2.0715,1.70771,0.03355,0.00136785,0.00136785,0.00136785
42,394.493,1.88233,1.72818,0.02349,0.66905,0.44144,0.43373,0.22075,0.74045,0.84625,0.59042,0.96552,0.0202,0.03958,0.53363,0.46835,0,0,0,0.71403,2.01235,1.73957,0.03176,0.0013648,0.0013648,0.0013648
43,402.788,1.84963,1.67896,0.02258,0.76298,0.36093,0.41109,0.19191,0.7413,0.84682,0.59376,0.97561,0.02819,0.05479,0.53795,0.46835,0,0,0,0.7181,2.08035,1.74208,0.03516,0.00136168,0.00136168,0.00136168
44,411.151,1.93184,1.66143,0.02524,0.69884,0.30859,0.36361,0.12033,0.74026,0.84618,0.59465,0.97778,0.0303,0.05878,0.5419,0.46835,0,0,0,0.72111,2.65933,1.9381,0.05858,0.00135849,0.00135849,0.00135849
45,419.475,1.94582,1.65751,0.02449,0.76827,0.43097,0.43245,0.14861,0.74016,0.84618,0.59578,0.98,0.033,0.06384,0.54598,0.46835,0,0,0,0.72602,2.38276,1.85,0.04979,0.00135523,0.00135523,0.00135523
46,428.272,1.82466,1.61885,0.02228,0.7349,0.42017,0.44557,0.15844,0.74039,0.84639,0.59549,0.98,0.03228,0.0625,0.54954,0.46835,0,0,0,0.72444,2.23566,1.80671,0.04458,0.0013519,0.0013519,0.0013519
47,437.006,1.8494,1.63406,0.02311,0.79412,0.39389,0.42898,0.18545,0.74131,0.84702,0.59763,0.98305,0.0374,0.07205,0.55258,0.46835,0,0,0,0.72537,2.08525,1.82498,0.03462,0.00134851,0.00134851,0.00134851
48,445.776,1.85336,1.56787,0.02253,0.69508,0.41784,0.42018,0.22005,0.74258,0.84783,0.60258,0.94253,0.05177,0.09814,0.55476,0.46835,0,0,0,0.72926,1.7799,1.84559,0.02583,0.00134504,0.00134504,0.00134504
49,454.14,1.81772,1.57409,0.02359,0.73623,0.42769,0.44171,0.14735,0.74234,0.84771,0.60734,0.9292,0.06494,0.12139,0.5566,0.46835,0,0,0,0.73231,2.43928,1.98972,0.04827,0.0013415,0.0013415,0.0013415
50,462.504,1.80707,1.53291,0.02164,0.75266,0.40855,0.42639,0.24188,0.7435,0.84849,0.61215,0.92754,0.07758,0.14318,0.55989,0.46835,0,0,0,0.73504,1.83417,1.66912,0.03047,0.0013379,0.0013379,0.0013379
51,471.042,1.86278,1.55425,0.02157,0.75727,0.45524,0.45952,0.24364,0.74463,0.84923,0.61653,0.93671,0.08794,0.16078,0.56378,0.46835,0,0,0,0.73885,1.90389,1.55557,0.03013,0.00133423,0.00133423,0.00133423
