epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49988,3.55239,4.3618,0.06072,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52176,3.84598,0.07723,4.287e-05,4.287e-05,4.287e-05
2,15.5187,3.69657,4.27304,0.06869,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52167,3.84183,0.07726,0.000100027,0.000100027,0.000100027
3,26.0554,3.53992,4.28455,0.0614,0.00029,0.07547,0.00019,5e-05,0.61872,0.76276,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52277,3.84342,0.07729,0.000157173,0.000157173,0.000157173
4,36.2534,3.5182,4.28711,0.06244,0,0,0,0,0.61872,0.76276,0.58228,0,0,0,0.53224,0.46835,0,0,0,0.4552,3.52136,3.84239,0.07725,0.000214298,0.000214298,0.000214298
5,44.6352,3.5121,4.32651,0.06011,0,0,0,0,0.61872,0.76276,0.58228,0,0,0,0.5256,0.46835,0,0,0,0.46857,3.51539,3.84197,0.07693,0.000271392,0.000271392,0.000271392
6,52.9263,3.35967,4.15165,0.05951,0.00027,0.06918,0.00018,5e-05,0.61966,0.76346,0.58228,0,0,0,0.52219,0.46835,0,0,0,0.47667,3.51082,3.83745,0.07669,0.000328447,0.000328447,0.000328447
7,62.2511,3.33052,4.10061,0.05661,0.00019,0.04046,0.00011,3e-05,0.61762,0.76211,0.58228,0,0,0,0.5207,0.46835,0,0,0,0.47991,3.49705,3.83103,0.076,0.000385453,0.000385453,0.000385453
8,70.4724,3.17611,3.95528,0.05025,0.00025,0.04674,0.00014,4e-05,0.61704,0.76178,0.58228,0,0,0,0.51978,0.46835,0,0,0,0.48304,3.47925,3.82156,0.07516,0.000442401,0.000442401,0.000442401
9,78.7768,3.06916,3.74977,0.04916,7e-05,0.00422,0.00022,2e-05,0.61426,0.75955,0.58228,0,0,0,0.5211,0.46835,0,0,0,0.48763,3.44419,3.80429,0.07369,0.000499282,0.000499282,0.000499282
10,87.1293,2.95331,3.5627,0.045,0.00051,0.04962,0.00481,0.00049,0.5986,0.74706,0.58228,0,0,0,0.5233,0.46835,0,0,0,0.48951,3.39345,3.7817,0.0716,0.000556086,0.000556086,0.000556086
11,96.4908,2.80662,3.31186,0.04238,0.0011,0.08553,0.0146,0.00197,0.57757,0.73022,0.58228,0,0,0,0.52705,0.46835,0,0,0,0.49028,3.36132,3.7682,0.07043,0.000612804,0.000612804,0.000612804
12,106.084,2.80377,3.09074,0.04319,0.00176,0.12772,0.01303,0.00138,0.56658,0.72145,0.58228,0,0,0,0.53145,0.46835,0,0,0,0.49259,3.32373,3.75487,0.06955,0.000669427,0.000669427,0.000669427
13,114.591,2.76872,2.93741,0.04318,0.00376,0.26903,0.01837,0.0022,0.5701,0.7239,0.58228,0,0,0,0.53649,0.46835,0,0,0,0.49414,3.28072,3.76547,0.06839,0.000725945,0.000725945,0.000725945
14,123.887,2.60933,2.80547,0.03856,0.00396,0.35176,0.06086,0.00657,0.57752,0.72944,0.58228,0,0,0,0.5424,0.46835,0,0,0,0.49663,3.23207,3.73822,0.06648,0.00078235,0.00078235,0.00078235
15,133.29,2.5475,2.72281,0.03767,0.00351,0.35241,0.06949,0.00799,0.58085,0.73197,0.58228,0,0,0,0.55287,0.46835,0,0,0,0.49892,3.28385,3.75172,0.06744,0.000838633,0.000838633,0.000838633
16,143.03,2.46643,2.54804,0.03506,0.00449,0.46493,0.09436,0.01525,0.58822,0.73775,0.58228,0,0,0,0.57886,0.46835,0,0,0,0.50164,3.10238,3.67216,0.06133,0.000894784,0.000894784,0.000894784
17,152.355,2.49953,2.49062,0.03515,0.00449,0.46915,0.12616,0.04162,0.60402,0.74993,0.58228,0,0,0,0.5873,0.46835,0,0,0,0.50377,2.81425,3.54133,0.05214,0.000950793,0.000950793,0.000950793
18,161.416,2.32701,2.38155,0.03105,0.00468,0.5096,0.15933,0.08393,0.62881,0.76779,0.58228,0,0,0,0.5821,0.46835,0,0,0,0.50328,2.28644,3.31069,0.03919,0.00100665,0.00100665,0.00100665
19,170.967,2.31359,2.33406,0.03206,0.00472,0.5096,0.17125,0.09016,0.64644,0.78043,0.58228,0,0,0,0.57378,0.46835,0,0,0,0.49801,2.28582,3.24189,0.03874,0.00106235,0.00106235,0.00106235
20,180.064,2.26623,2.30047,0.03149,0.00494,0.51861,0.15054,0.08812,0.66026,0.79017,0.58228,0,0,0,0.55525,0.46835,0,0,0,0.49401,2.21083,3.29237,0.03506,0.00111789,0.00111789,0.00111789
21,188.528,2.28762,2.30693,0.03144,0.92789,0.15286,0.20213,0.11047,0.67057,0.79749,0.58228,0,0,0,0.53723,0.46835,0,0,0,0.49001,2.24518,3.05757,0.03682,0.00117324,0.00117324,0.00117324
22,198.543,2.2846,2.2047,0.02967,0.00459,0.46915,0.15748,0.08822,0.6758,0.80129,0.58228,0,0,0,0.52669,0.46835,0,0,0,0.48554,2.42037,3.31542,0.0409,0.00122841,0.00122841,0.00122841
23,207.02,2.2893,2.21019,0.0312,0.92,0.16878,0.23774,0.08963,0.68356,0.80674,0.58228,0,0,0,0.51096,0.46835,0,0,0,0.49711,2.14177,3.15216,0.03265,0.00128338,0.00128338,0.00128338
24,216.334,2.16586,2.06704,0.02843,0.95725,0.22946,0.36412,0.15767,0.69333,0.81327,0.58228,0,0,0,0.50799,0.46835,0,0,0,0.51289,1.95284,2.86759,0.03041,0.00133815,0.00133815,0.00133815
25,227.624,2.16899,2.0579,0.02863,0.95951,0.12206,0.28937,0.15931,0.70232,0.81929,0.58228,0,0,0,0.50078,0.46835,0,0,0,0.52208,1.86104,2.64765,0.02725,0.00139271,0.00139271,0.00139271
26,239.328,2.06619,1.99255,0.02591,1,0.19201,0.36792,0.21202,0.7097,0.82412,0.58228,0,0,0,0.50072,0.46835,0,0,0,0.52817,1.88913,2.53489,0.0288,0.0014049,0.0014049,0.0014049
27,249.914,2.05492,1.92348,0.02695,0.89997,0.26582,0.3371,0.13144,0.71161,0.82572,0.58228,0,0,0,0.50164,0.46835,0,0,0,0.54389,2.35947,2.33843,0.04566,0.00140294,0.00140294,0.00140294
28,259.059,2.09707,1.98074,0.02707,0.93935,0.29114,0.38077,0.13195,0.71266,0.82666,0.58228,0,0,0,0.50291,0.46835,0,0,0,0.55356,2.4082,2.26347,0.0467,0.00140091,0.00140091,0.00140091
29,267.853,2.16768,2.00021,0.02914,0.95063,0.29122,0.36671,0.13148,0.71366,0.82748,0.58228,0,0,0,0.50475,0.46835,0,0,0,0.56319,2.4181,2.23135,0.03721,0.00139881,0.00139881,0.00139881
30,276.756,2.20214,2.05994,0.0289,0.96977,0.28692,0.36702,0.11669,0.71695,0.82982,0.58228,0,0,0,0.50693,0.46835,0,0,0,0.58028,2.43926,2.22975,0.04376,0.00139663,0.00139663,0.00139663
31,285.258,2.11263,1.91822,0.02781,0.60779,0.12772,0.18228,0.04888,0.71851,0.83088,0.58228,0,0,0,0.50985,0.46835,0,0,0,0.58379,2.21425,2.80816,0.03897,0.00139438,0.00139438,0.00139438
32,293.543,2.04321,1.89374,0.02727,0.61988,0.2892,0.30595,0.12281,0.7212,0.83272,0.58228,0,0,0,0.51308,0.46835,0,0,0,0.59455,2.19326,2.289,0.03589,0.00139205,0.00139205,0.00139205
33,302.471,2.02746,1.85196,0.02612,0.65729,0.36937,0.39214,0.1168,0.72409,0.83467,0.58228,0,0,0,0.51454,0.46835,0,0,0,0.60684,2.42689,2.2949,0.053,0.00138965,0.00138965,0.00138965
34,311.294,1.95315,1.75082,0.02445,0.65811,0.40541,0.41772,0.19308,0.72676,0.83647,0.58228,0,0,0,0.51609,0.46835,0,0,0,0.61835,2.09199,1.73185,0.03676,0.00138718,0.00138718,0.00138718
35,319.912,1.93896,1.8088,0.02585,0.74138,0.3883,0.40998,0.16004,0.72843,0.83763,0.58264,1,0.00087,0.00173,0.51859,0.46835,0,0,0,0.6276,2.07555,1.95382,0.03181,0.00138464,0.00138464,0.00138464
