epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.84028,3.52657,4.36096,0.06047,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5206,3.84339,0.07723,4.287e-05,4.287e-05,4.287e-05
2,16.323,3.69842,4.26271,0.06894,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.4778,3.52142,3.84431,0.07725,0.000100027,0.000100027,0.000100027
3,27.2229,3.56944,4.35011,0.06283,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.47115,3.5227,3.8423,0.07728,0.000157173,0.000157173,0.000157173
4,37.3681,3.54772,4.28409,0.06305,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.47836,3.52175,3.84164,0.07723,0.000214298,0.000214298,0.000214298
5,47.1882,3.42933,4.23059,0.05757,0.00027,0.06918,0.00016,4e-05,0.61858,0.76257,0.58228,0,0,0,0.5,0.46835,0,0,0,0.48663,3.52117,3.84286,0.07717,0.000271392,0.000271392,0.000271392
6,56.8781,3.20195,4.02812,0.05519,0.00029,0.07547,0.0002,6e-05,0.6201,0.76378,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49038,3.51465,3.84054,0.07689,0.000328447,0.000328447,0.000328447
7,66.5307,3.20385,3.95673,0.05329,0.0003,0.07547,0.00021,6e-05,0.621,0.76449,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49326,3.50436,3.83335,0.07635,0.000385453,0.000385453,0.000385453
8,76.3001,3.02209,3.77357,0.04706,0.0003,0.07547,0.00021,6e-05,0.62066,0.76421,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49472,3.47892,3.81521,0.07503,0.000442401,0.000442401,0.000442401
9,85.8054,2.89708,3.56591,0.04536,0.00189,0.20948,0.00123,0.00044,0.63549,0.77544,0.58228,0,0,0,0.49756,0.46835,0,0,0,0.50048,3.47056,3.81167,0.07455,0.000499282,0.000499282,0.000499282
10,95.486,2.81723,3.33596,0.04271,0.00184,0.22522,0.00418,0.0007,0.63491,0.77471,0.58228,0,0,0,0.49508,0.46835,0,0,0,0.50426,3.38934,3.76987,0.07106,0.000556086,0.000556086,0.000556086
11,105.886,2.72208,3.10593,0.04052,0.00301,0.37875,0.04701,0.00605,0.62039,0.76325,0.58228,0,0,0,0.49403,0.46835,0,0,0,0.51278,3.29656,3.72733,0.06761,0.000612804,0.000612804,0.000612804
12,116.212,2.75725,2.91994,0.04169,0.00282,0.42447,0.10434,0.02083,0.61903,0.76256,0.58228,0,0,0,0.49216,0.46835,0,0,0,0.54095,3.08055,3.62088,0.05976,0.000669427,0.000669427,0.000669427
13,127.032,2.67024,2.83433,0.04102,0.00338,0.48258,0.12199,0.04471,0.63423,0.77387,0.58228,0,0,0,0.49006,0.46835,0,0,0,0.53835,2.73135,3.52626,0.04907,0.000725945,0.000725945,0.000725945
14,137.56,2.5364,2.63191,0.03642,0.0034,0.48258,0.16142,0.05079,0.64266,0.78016,0.58228,0,0,0,0.48977,0.46835,0,0,0,0.5357,2.77811,3.46833,0.04837,0.00078235,0.00078235,0.00078235
15,147.864,2.374,2.52066,0.03355,0.0037,0.50059,0.17982,0.07164,0.65569,0.78948,0.58228,0,0,0,0.48361,0.46835,0,0,0,0.56856,2.50024,3.41805,0.04235,0.000838633,0.000838633,0.000838633
16,158.078,2.33459,2.33928,0.03215,0.00374,0.48802,0.21174,0.13427,0.67104,0.79968,0.58228,0,0,0,0.48346,0.46835,0,0,0,0.56713,2.1947,3.26067,0.03528,0.000894784,0.000894784,0.000894784
17,168.788,2.3586,2.32882,0.03172,0.00403,0.51317,0.22339,0.13859,0.68273,0.80771,0.58228,0,0,0,0.47701,0.46835,0,0,0,0.59358,2.19875,3.26344,0.03694,0.000950793,0.000950793,0.000950793
18,180.602,2.28793,2.24367,0.0297,0.00422,0.52847,0.20415,0.0704,0.6867,0.81051,0.58228,0,0,0,0.46802,0.46835,0,0,0,0.60963,2.41783,3.3505,0.04109,0.00100665,0.00100665,0.00100665
19,190.495,2.22429,2.14893,0.02981,0.00448,0.55006,0.26433,0.09736,0.69032,0.81311,0.58228,0,0,0,0.4615,0.46835,0,0,0,0.6057,2.34325,3.26487,0.04193,0.00106235,0.00106235,0.00106235
20,200.396,2.21094,2.18418,0.02942,0.03851,0.39725,0.29896,0.10752,0.69269,0.81483,0.58228,0,0,0,0.45347,0.46835,0,0,0,0.61159,2.53879,3.00348,0.04838,0.00111789,0.00111789,0.00111789
21,210.007,2.23169,2.15835,0.03008,0.00535,0.71392,0.29888,0.11833,0.6961,0.81721,0.58228,0,0,0,0.44057,0.46835,0,0,0,0.60387,2.33001,2.97039,0.03721,0.00117324,0.00117324,0.00117324
22,219.402,2.26464,2.0778,0.02937,0.00612,0.77324,0.34141,0.13887,0.70167,0.82091,0.58228,0,0,0,0.42326,0.46835,0,0,0,0.59339,2.02079,2.92615,0.03148,0.00122841,0.00122841,0.00122841
23,229.776,2.19634,2.10736,0.0295,0.99167,0.16467,0.36548,0.13815,0.70509,0.82319,0.58228,0,0,0,0.42994,0.46835,0,0,0,0.61317,2.03049,2.85503,0.02971,0.00128338,0.00128338,0.00128338
24,238.486,2.09328,1.99143,0.0274,0.98935,0.12782,0.33089,0.12166,0.70738,0.82478,0.58228,0,0,0,0.43667,0.46835,0,0,0,0.61566,2.23484,2.78522,0.03329,0.00133815,0.00133815,0.00133815
25,247.333,2.06367,1.93334,0.02749,0.98998,0.27228,0.35646,0.15185,0.71138,0.82746,0.58228,0,0,0,0.44209,0.46835,0,0,0,0.63003,2.29291,2.43944,0.04095,0.00139271,0.00139271,0.00139271
26,257.501,2.05657,1.91584,0.02594,0.95935,0.27346,0.35803,0.12852,0.71398,0.82917,0.58228,0,0,0,0.4489,0.46835,0,0,0,0.62879,2.27118,2.43566,0.03624,0.0014049,0.0014049,0.0014049
27,266.408,2.0774,1.87184,0.02656,0.94476,0.29536,0.3804,0.14679,0.7176,0.83155,0.58228,0,0,0,0.45603,0.46835,0,0,0,0.62314,1.99837,2.38329,0.03142,0.00140294,0.00140294,0.00140294
28,275.887,2.04862,1.93427,0.02648,0.68224,0.22989,0.3218,0.11287,0.71745,0.83155,0.58228,0,0,0,0.46323,0.46835,0,0,0,0.62083,2.5938,2.50944,0.04811,0.00140091,0.00140091,0.00140091
29,285.148,2.00853,1.91019,0.02674,0.66058,0.1769,0.29407,0.11934,0.71879,0.83249,0.58228,0,0,0,0.46989,0.46835,0,0,0,0.62512,2.23391,2.54352,0.04037,0.00139881,0.00139881,0.00139881
30,293.887,2.02717,1.89862,0.02606,0.93035,0.32489,0.3922,0.15739,0.72102,0.83393,0.58228,0,0,0,0.47619,0.46835,0,0,0,0.62827,2.40939,1.99705,0.04519,0.00139663,0.00139663,0.00139663
31,303.451,1.96422,1.81744,0.02528,0.99116,0.30973,0.3941,0.14995,0.72364,0.83562,0.58228,0,0,0,0.48196,0.46835,0,0,0,0.62669,2.30588,1.98361,0.05222,0.00139438,0.00139438,0.00139438
32,312.23,1.97716,1.7996,0.02601,0.77913,0.37866,0.41771,0.15759,0.7262,0.83726,0.58228,0,0,0,0.48767,0.46835,0,0,0,0.62703,2.34832,1.91683,0.04065,0.00139205,0.00139205,0.00139205
33,322.134,1.92742,1.73751,0.02444,0.73187,0.34688,0.41091,0.12856,0.72749,0.83815,0.58228,0,0,0,0.49177,0.46835,0,0,0,0.6264,2.45788,2.22423,0.04449,0.00138965,0.00138965,0.00138965
34,332.152,1.83728,1.64742,0.02234,0.71459,0.43243,0.44895,0.21171,0.72986,0.83964,0.58228,0,0,0,0.49644,0.46835,0,0,0,0.62724,2.12557,1.71939,0.03876,0.00138718,0.00138718,0.00138718
35,343.759,1.8929,1.71137,0.0251,0.68668,0.36994,0.42346,0.19996,0.73203,0.84102,0.58336,1,0.0026,0.00518,0.50242,0.46835,0,0,0,0.63592,1.94712,1.7037,0.02862,0.00138464,0.00138464,0.00138464
36,352.5,1.9194,1.71134,0.02436,0.78168,0.37838,0.41997,0.20488,0.73442,0.84252,0.58368,1,0.00337,0.00671,0.5076,0.46835,0,0,0,0.63528,1.97261,1.82617,0.03208,0.00138202,0.00138202,0.00138202
37,361.845,1.95295,1.63221,0.02342,0.60826,0.36937,0.4063,0.19068,0.73502,0.84293,0.58365,1,0.00328,0.00653,0.512,0.46835,0,0,0,0.6334,2.18946,1.66765,0.03815,0.00137933,0.00137933,0.00137933
38,370.7,1.84946,1.70163,0.02474,0.39935,0.42634,0.42199,0.17242,0.73477,0.8428,0.58394,1,0.00399,0.00794,0.51589,0.46835,0,0,0,0.63537,2.32288,1.7786,0.04585,0.00137656,0.00137656,0.00137656
39,379.941,1.88961,1.65614,0.02491,0.68631,0.41064,0.40754,0.15479,0.73436,0.84256,0.58585,0.92308,0.00932,0.01846,0.51985,0.46835,0,0,0,0.6418,2.20599,1.77617,0.04128,0.00137373,0.00137373,0.00137373
